"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Winn, Cole",668390,"R","92.2","86.6","48",,"92.9",,"34.3",,
"Green, Chad",643338,"R","92.2","89",,,,,"25.9",,
"Mena, Cristian",691441,"R","92.2","84.6",,"78.5",,"15.1",,"23.4",
"Alexander, Jason",669920,"R","92.2","92.2","37.7","98.1",,,,"66.7",
"Bigge, Hunter",685801,"R","92.2",,,,,"91.2","31.4",,
"Selby, Colin",681882,"R","92.2","88.1",,,,"83.5","26.9",,
"Snell, Blake",605483,"L","92",,,"98.5",,"60","55.2",,
"Wilson, Steven",621051,"R","91.9",,"60.1","98.8",,,,"50.9",
"Gore, MacKenzie",669022,"L","91.9",,"51.1","92.1",,"74.8","11.9",,
"Cabrera, Edward",665795,"R","91.9","87.8",,"92.9",,"76.6","22",,
"Long, Sam",669674,"L","91.9","84",,,"77.6","74.6","15.9",,
"Smith, Dylan",681916,"R","91.9","97.7",,,"88.2",,,"35",
"Bazardo, Eduard",660825,"R","91.9","92.1",,,"88.2",,"59",,
"Houser, Adrian",605288,"R","91.7","88.9",,"88.7",,"96.4","32.7",,
"Lucas, Easton",687922,"L","91.7",,"55.3","96.3",,,"24.9","36.3",
"Wentz, Joey",666214,"L","91.7",,"33.1","94.6",,"59.2","24.6",,
"Thielbar, Caleb",573204,"L","91.6",,,,,"81.5","46.7","44.9",
"Hicks, Jordan",663855,"R","91.6","86.8",,,"94.3",,"41.9","49.5",
"Martinez, Nick",607259,"R","91.5","90.2","59","77.1",,"82.1","12.2",,
"VanWey, Logan",701121,"R","91.5","84.8",,"93.5",,,,"41.6",
"Buehler, Walker",621111,"R","91.5","89.3","58.3","94.8",,"93.8","45.1","62.8",
"Ogasawara, Shinnosuke",829272,"L","91.5","96",,"96",,"99.5","21.6",,
"Martin, Chris",455119,"R","91.5","82.5","54.2",,"75.6",,,"58",
"Tolle, Payton",801139,"L","91.5",,"54.6","65.8",,"45.1","29.5",,
"Patrick, Chad",694477,"R","91.5","85.6","37.4","74.1",,,"39.5",,"46.9"
"Salazar, Eduardo",674285,"R","91.5","83.9",,,,,"24.2",,
"Zerpa, Angel",672582,"L","91.4","84.6",,"92.8",,,"59",,
"Englert, Mason",669438,"R","91.4","83.7","19.9","60.8",,"84.2",,,
"Mlodzinski, Carmen",669387,"R","91.4","90.7",,,"65.5","75.1","18.5","29.8",
"Sims, Lucas",608371,"R","91.4",,,,,"62.2",,"45.5",
"Schultz, Paxton",687606,"R","91.3",,"56.9","45.8",,,"41.8",,
"Cruz, Fernando",518585,"R","91.3","91.6",,,"39.2",,"43.1",,
"Cleavinger, Garrett",664076,"L","91.3","84.9","31.1",,,,"35.5","68.7",
"Castillo, Luis",622491,"R","91.2","92.6",,"91.9",,,"13.1",,
"Kikuchi, Yusei",579328,"L","91.2","89.1",,"91.5",,"49.3","28.7",,
"Clarke, Taylor",664199,"R","91.1","88.4",,"87.2",,,"30",,
"Shugart, Chase",663767,"R","91.1","91","36.9","93.4",,,,"62.3",
"Rasmussen, Drew",656876,"R","91.1","89.2","30","87.4",,"68.6",,"47.3",
"Davis, Noah",663562,"R","91","92.8","31.4",,,,,"68.4",
"Puk, A.J.",640462,"L","91",,,,,,"21.3",,
"Tinoco, Jesus",622786,"R","91","87.8",,"98.4",,,"35.5",,
"Yamamoto, Yoshinobu",808967,"R","91","87.4","45.9",,"78.4","94.9","38",,
"Henry, Tommy",674072,"L","90.9",,,"86.5",,"84","35.5",,
"Wells, Tyler",669330,"R","90.9",,"69.8","93.8",,"59.7","43.4",,
"Winn, Keaton",676775,"R","90.8","84.1",,,"87.2",,,,
"Mikolas, Miles",571945,"R","90.8","85.2",,"92.6",,"81.3","38","45.4",
"Burns, Chase",695505,"R","90.8",,,"92.7",,"32.9","23.9",,
"Dubin, Shawn",681869,"R","90.8","91","42.4","87.2",,"87.5",,"56.1",
"Muñoz, Andrés",662253,"R","90.7","88.3",,"86.6",,,"39.2",,
"Woo, Bryan",693433,"R","90.7","84.8",,"87.7",,,"27.5","35.6",
"deGrom, Jacob",594798,"R","90.6",,,"87.9",,"60.1","32.5",,
"Hancock, Emerson",676106,"R","90.5","91.6",,"98.3",,,"36","61.7",
"Brasier, Ryan",518489,"R","90.5","90.6","53.4",,,,"35.2",,
"Chapman, Aroldis",547973,"L","90.4","88",,,"40",,"44.2",,
"Gusto, Ryan",687473,"R","90.4","83.5","47.1","98.2",,"87.2","34.7","44.3",
"Newcomb, Sean",656794,"L","90.4","82.5","40.5","84.2",,"88.5",,,"68"
"Ober, Bailey",641927,"R","90.4","95.1",,"99.4",,"74.1","46.4","46.1",
"Alexander, Tyler",641302,"L","90.3","90.4","49","87.4",,,,"45.2",
"Basso, Brady",669620,"L","90.3","90.5","50.4","83.2",,"70.5",,,
"Granillo, Andre",701552,"R","90.3",,,"85.3",,,"24",,
"Brieske, Beau",689225,"R","90.3","88.3",,"80.7",,,"19.8",,
"Misiorowski, Jacob",694819,"R","90.3",,,"99",,"70.4","45.5",,
"Rutledge, Jackson",671131,"R","90.2","95.6","37.7",,"85.1",,"14.8",,
"Skubal, Tarik",669373,"L","90.1","86.8",,"79.3",,"53.8","32.6",,
"Assad, Javier",665871,"R","90.1","88.3","59.7","82.6",,"69.4",,"52.5",
"Bachar, Lake",669199,"R","90.1",,,,"96.1",,"19.1","41.6",
"Sauer, Matt",669422,"R","90.1","92.9","46.2",,"80",,"50.9",,
"Allen, Logan",671106,"L","90.1","90.4","43.6","87.7",,,,"54.8",
"Phillips, Connor",683175,"R","90",,,,,"63.2",,"54.2",
"Crismatt, Nabil",622503,"R","89.9","87.5",,"74.2",,"97","30.4",,
"Adam, Jason",592094,"R","89.9",,,"78.3",,,"20.2","54.9",
"Hall, DL",669084,"L","89.9","88","57.3","96.3",,"70.8","40",,
"Ginkel, Kevin",656464,"R","89.8","90.6",,,,,"34",,
"Mazur, Adam",800049,"R","89.7","82",,"88.8",,"57.6","23.4","54.4",
"Winans, Allan",642216,"R","89.7","85.1",,"80.3",,,,"55.3",
"Javier, Cristian",664299,"R","89.7","93.1",,"78",,"71.2",,"50.3",
"Flexen, Chris",623167,"R","89.7",,"53.4","97.1",,"89.1","64.3",,"83.1"
"Melton, Troy",675512,"R","89.7","87.6","45.3",,"70.7","87.9","54.5",,
"Soto, Gregory",642397,"L","89.6","91.9",,,,,"19.8","27.3",
"Ortiz, Luis",682847,"R","89.6","81.4","47.8","96.2",,,"23.5",,
"Kirby, George",669923,"R","89.6","87.2",,"96","90.3","82.3","52.5",,
"Zuber, Tyler",676604,"R","89.6","88",,"93",,,"40.5","57.7",
"Graveman, Kendall",608665,"R","89.5","94.1",,"84.8",,,"29.1",,
"Lawrence, Casey",596271,"R","89.5","88.7",,"94.9",,,"22.3","33.7",
"Roupp, Landen",694738,"R","89.5","87.2","49.1","88.4",,"79.7",,,
"Wilson, Bryse",669060,"R","89.4","86.7","49.7","91.3",,"53.2",,,
"Gómez, Yoendrys",672782,"R","89.4","90","63.6","95.9",,"73","42.4","53.3",
"Montero, Rafael",606160,"R","89.4","86.5",,,"78.2",,"32.9",,
"Miley, Wade",489119,"L","89.4","88.5","58.9","90.4",,,,,
"Bivens, Spencer",702352,"R","89.3","84.8","58.7","66.3",,,,"39.6","55.1"
"Rocker, Kumar",677958,"R","89.3","90.7","31.2","98.9",,"76","19.4",,
"May, Dustin",669160,"R","89.2","84.7","37.3","98.8",,,,"64",
"Vodnik, Victor",680767,"R","89.2",,"31.5","87.1",,,"33.7",,
"Beeter, Clayton",690925,"R","89.2",,,,,,"43.9",,
"Helsley, Ryan",664854,"R","89",,"55.4",,,"67","22.3",,
"Freeland, Kyle",607536,"L","89","83.1","33","96.9",,"52.6",,"43.7",
"Fulmer, Carson",608334,"R","88.9","79.4",,"92.2",,"59.4","26.2",,
"Cease, Dylan",656302,"R","88.9","82.7",,"92.6",,"75.7","24.9","60.1",
"Walter, Brandon",687888,"L","88.7","89.5","40.5","94.2",,,,"69.7",
"Schlittler, Cam",693645,"R","88.7","80.9","48.9",,,"82.1",,"49.1",
"Cameron, Noah",702070,"L","88.7",,"43.4","98.3",,"69.6","24.8",,
"Matzek, Tyler",554431,"L","88.7",,,,,,"46",,
"Vest, Will",676684,"R","88.7","86.7",,"90.3",,,"19.2",,
"Fairbanks, Pete",664126,"R","88.7",,"29.6","71.1",,,"48.6",,
"Loáisiga, Jonathan",642528,"R","88.5","89.4","33.2","96.8",,"36.1",,,
"Henriquez, Ronny",678692,"R","88.4","88.1",,"95.6",,,"27.7","39.8",
"De Los Santos, Enyel",660853,"R","88.4",,,"96.2",,,"33.5",,
"Rashi, Taylor",688497,"R","88.4",,,,"84.2","81.5","38.2",,
"Garrett, Reed",657585,"R","88.3","83.5","37.2",,"81.2",,,"45.5",
"Gipson-Long, Sawyer",687830,"R","88.3","82.9","42","98.8",,,"41.6",,
"Murphy, Chris",669684,"L","88.3","81.7",,"98.1",,"91.5","37","61.7",
"Svanson, Matt",694335,"R","88.2","86.6","38.3",,,,,"34",
"Junk, Janson",676083,"R","88.1",,,"88.8",,"64.3","42.5","45.1",
"Kolek, Stephen",663568,"R","88.1","75.7","40","72.1",,,"24.8","45",
"Burke, Sean",680732,"R","88","94.3",,"99",,"82.7","33",,
"Corbin, Patrick",571578,"L","87.9","84.3","40.3","96.5",,"30.2","19.3",,
"Silseth, Chase",681217,"R","87.9","87.3",,,"79.5",,,"37.4",
"Senga, Kodai",673540,"R","87.9","86.3","52.5",,"73.3","64.9","19.1","29.6",
"Jacob, Alek",689690,"R","87.9","90.2",,"97.1",,,,"66.4",
"Rogers, Trevor",669432,"L","87.9","89.1",,"87.4",,,"27.4","32.8",
"Hart, Kyle",606996,"L","87.7","86.3",,"99","71.3",,"49.1","44.3",
"Hendricks, Kyle",543294,"R","87.7","79.7",,"76.8",,"78.2",,,
"Olson, Reese",681857,"R","87.6","89.1",,"74.2",,"82.2","32.2",,
"Clevinger, Mike",605182,"R","87.6",,"46.3","95.8",,,,"63.7",
"Webb, Jacob",657097,"R","87.5",,,"99.4",,,,"52.6",
"Darvish, Yu",506433,"R","87.4","87.8","56.8",,"52.4","87","30.2","43.2",
"Vásquez, Randy",681190,"R","87.4","86.5","56.1","93",,"58.2","37.5","48.7",
"Winckowski, Josh",670174,"R","87.4","87.7","28.5","92.2",,,"36",,
"Rea, Colin",607067,"R","87.4","78.9","50.9",,"90.6","73","31.3","54.2",
"Rodríguez, Randy",678495,"R","87.3",,,,,,"42.5",,
"Quintana, Jose",500779,"L","87.3","85.5",,"89.1",,"55.3",,,"53.4"
"Neris, Héctor",593576,"R","87.3","90.5",,"83","71.7",,"41.3",,
"Cano, Yennier",666974,"R","87.3","86.7","38.7","98.8","92.1",,"35.1",,
"Ashcraft, Braxton",677952,"R","87.3","83.8",,"83.1",,"72.3","38.7",,
"Veneziano, Anthony",685107,"L","87.2","90.1",,"98.2",,,"19.6","34.8",
"Woodruff, Brandon",605540,"R","87.2","87.4","64.8","83.9",,"53.7",,"32.4",
"Morton, Charlie",450203,"R","87.2","88.3","26.5","76.5",,"74.1",,,
"Morejon, Adrian",670970,"L","87.1","81.4","55.8","95",,,"41.3",,
"Brash, Matt",666374,"R","87.1","90.6",,"78.9",,,"50.7",,
"Garcia, Robert",676395,"L","87.1",,,"89.5",,,"25.9",,
"Wrobleski, Justin",680736,"L","87.1","87.5","51.4","72.5",,"66.9","28.5",,
"Ramírez, Yohan",670990,"R","87.1","87.9","34.5",,,"77.6","34.3","61.2",
"Herget, Jimmy",623474,"R","87","87.6",,"83.6",,"56.8","22.3",,
"Ribalta, Orlando",687377,"R","87","87",,"85.9",,,"25.5",,
"Peguero, Joel",666711,"R","86.9","80.7",,,,,"38.2",,
"De León, José",592254,"R","86.9",,,"99.5",,,"46.3",,"78.2"
"Rodriguez, Carlos",692230,"R","86.9","94","54.5","98.8",,"74","46.3",,
"Uceta, Edwin",670955,"R","86.9","86.4","50","75.9",,,,"46.8",
"Festa, David",701581,"R","86.9","92.5",,"81.2",,,"23",,
"Abreu, Bryan",650556,"R","86.9","88.4",,,,,"58",,
"Flaherty, Jack",656427,"R","86.8","81.7",,"84",,"77.7","41.8",,
"Bellozo, Valente",678368,"R","86.7",,"44.9","86.1","41.6","66.8",,"55.8",
"Gibson, Kyle",502043,"R","86.7","78.5","42.6","76.1",,"70.8",,"48.9",
"Zeferjahn, Ryan",666171,"R","86.6",,"40.3",,,,"36.9","55.4","59.4"
"Suárez, Albert",544150,"R","86.6",,"52.4","96.4",,"50.8",,,"33.9"
"Early, Connelly",813349,"L","86.6","91",,"87.3",,"71","32","35.4",
"Iglesias, Raisel",628452,"R","86.5","89.3",,"83.9",,,"31.3",,
"Sugano, Tomoyuki",608372,"R","86.5","83.2","39.7",,"78.3","68.7",,"37.9",
"McLean, Nolan",690997,"R","86.4","77.2","30.2","79.9",,"96.7",,"58.6",
"Kranick, Max",668820,"R","86.4",,,,,"70.2","55.9","51",
"Bibee, Tanner",676440,"R","86.3","86.6","31.8","82.3",,"73.1",,"55.4",
"Morales, Luis",806960,"R","86.3",,,"90.5",,,"42.7","67.3",
"Slaten, Justin",686580,"R","86.3",,"52.1",,,"77.8",,"48.8",
"Cannon, Jonathan",686563,"R","86.3","83.9","55.9","75.1",,,,"43.2",
"Wheeler, Zack",554430,"R","86.2","86.4","46.7",,"85.3","68.4",,"45.9",
"Crochet, Garrett",676979,"L","86.2","86.1","39.1","81",,,,"55.7",
"McGreevy, Michael",700241,"R","86.1","76.8","40.5","75.2",,"78.6","39.6","49.2",
"Gallen, Zac",668678,"R","86.1","83.9","49.4","86.8",,"68.1","36",,
"Horn, Bailey",690544,"L","86.1","81.1","23.3",,,,,"33",
"Leahy, Kyle",681517,"R","85.9","84.1",,"79.9",,"84.2","43.7","47.4",
"Irvin, Jake",663623,"R","85.9","80.5","44.3","79.2",,"75.3","41.5",,
"Montero, Keider",672456,"R","85.8","82.9",,"87.4",,"73.1","37.8",,
"Hernandez, Nick",663321,"R","85.8",,,,"65.7",,"20.8",,
"Holton, Tyler",663947,"L","85.8","87.5","49.3","96.5",,"82.9",,"48.2",
"Holderman, Colin",670059,"R","85.8","86.6","36.7",,"89.2",,,"46.1",
"Pérez, Cionel",672335,"L","85.8","80.6",,,,,"21.3",,"56.2"
"Soroka, Michael",647336,"R","85.7","85.9",,"94",,,,,"67.2"
"Peralta, Freddy",642547,"R","85.7",,,"87.9",,"54.5","31.5",,
"Aldegheri, Sam",691951,"L","85.7",,,"94.8",,"84.1","32.3",,
"Keller, Mitch",656605,"R","85.7","73.4",,"71.6",,"93.7","27.8","61.7",
"Sands, Cole",663485,"R","85.6","80.9","37.2",,"86.2","68.1",,,
"Fitts, Richard",690916,"R","85.5","85.2",,"69.1",,"59","30.1","38.4",
"Taylor, Grant",691799,"R","85.4",,"48",,,"79.2","33.4",,
"Ellard, Fraser",686642,"L","85.4","76.6",,"73.7",,,"45.4",,
"Robert, Daniel",642016,"R","85.3","78.9","40.1",,,,,"53.5",
"McGee, Easton",668834,"R","85.2","85.8","44.8",,,"77.2",,,
"Megill, Tylor",656731,"R","85.1","80.4",,"86.3",,"90.4","47.2",,
"Gilbert, Tyler",656457,"L","85.1","84.4","55.5",,"98.7",,,"39.5",
"Gibson, Cade",806188,"L","85.1","83.4",,"76.9",,"85.4","22.4","50.8",
"Spiers, Carson",686730,"R","85","79.8","48.3","93.4",,,,"57.7",
"Díaz, Alexis",664747,"R","84.9",,,,,,"30.5",,
"Casparius, Ben",676508,"R","84.9","77.7","43",,,"77.7",,"53",
"Barnett, Mason",686930,"R","84.9",,,"66.2",,"82.5",,"44.4",
"Ferguson, Caleb",657571,"L","84.9","82.5","27.3",,,,,,"64.9"
"Lugo, Seth",607625,"R","84.8","82.9","60.2","87","82.2","80.6","30.9","45.1","66.2"
"King, Michael",650633,"R","84.8","77.3",,"96.7",,,"31.8","52.6",
"Hartlieb, Geoff",664129,"R","84.7","85.3",,,,,"9.1",,
"Sousa, Bennett",656986,"L","84.7",,,,,,"23.9",,
"Bubic, Kris",663460,"L","84.6","83.1",,"74.2",,,"18.5","48.8",
"Ferguson, Tyler",621053,"R","84.5","83","33","93.3",,,,"36.2",
"Kelly, Merrill",518876,"R","84.5","82.4","67.1","79.8",,"62","21.2",,
"Blewett, Scott",656240,"R","84.5",,,,"65.5",,"26.7",,
"Minter, A.J.",621345,"L","84.4",,"32.6","94.4",,,,,
"Seymour, Carson",693313,"R","84.3","75.6","44.2",,,"67.5","56.5",,
"Kershaw, Clayton",477132,"L","84.1","72",,,"89.5","82.5","48.3",,
"Abel, Mick",690953,"R","84.1","78.1",,"68.2",,"70.9","15.3","57.2",
"Martin, Davis",663436,"R","84.1","83.5","28.1","70.4",,"75.7","37.3",,
"Senzatela, Antonio",622608,"R","84","81.3",,"67.4",,"51.4","37.1",,
"Romero, JoJo",668941,"L","84","83.5",,"94.1",,,"41.4",,"37.5"
"Tarnok, Freddy",676206,"R","83.9",,,"80.8",,"79.1","25.9",,
"García, Luis",472610,"R","83.8","85.2",,,"82",,,"52.2",
"Soriano, George",666277,"R","83.7","80",,"73.1",,,"21.9",,
"Castillo, Luis F.",622379,"R","83.7","89.7",,"97.2",,,,"58.3",
"Barnes, Jacob",606930,"R","83.7",,"36.4",,,,,,
"Sandlin, Nick",680704,"R","83.6","85.4",,,"76.2",,"53.3",,
"Boushley, Caleb",676961,"R","83.5","85.6","58","90.6",,"69.9","34.4",,
"Sanders, Cam",676742,"R","83.3",,,"75.7",,,"19.7","55",
"Montas, Frankie",593423,"R","83.3","80.4","61.5",,"85",,"32.9","39.5",
"Eflin, Zach",621107,"R","83.2","74.7","48.3","92.1",,"70.6",,"56.9",
"Domínguez, Seranthony",622554,"R","83.2","82.1",,,"94.7","75.9",,"40.4",
"Martin, Corbin",656686,"R","83.1",,,"63.5",,"41.6","42.5",,
"Bender, Anthony",669622,"R","82.8","83.3",,"86.4",,,"31.1","55.4",
"Núñez, Dedniel",673380,"R","82.7",,,,,,"12.1",,
"Campbell, Isaiah",663462,"R","82.6","72.8",,,,"64","36.1","45.9",
"Lucchesi, Joey",664192,"L","82.5","80.4",,,,"41.8",,,
"Lazar, Max",676661,"R","82.4",,"41.6",,"86.5","87.4",,,
"Murray, Jayden",681151,"R","82.3","83.6","48.5",,,,,"62",
"Morgan, David",688158,"R","82.2","87.7",,,,"69.8","25.7",,
"Soriano, José",667755,"R","82.2","82",,,"76.5","70.8","17.8",,
"Woodford, Jake",663765,"R","82","84.8","48.9","72.4",,,,"50.8",
"Schwellenbach, Spencer",680885,"R","82","76.9","60.1",,"74","69.3","26",,
"Anderson, Grant",681982,"R","81.9","81.4",,"90.5",,,,"62.8",
"Hill, Rich",448179,"L","81.9","78.9","45.7",,,"94.1",,"87.8",
"Jax, Griffin",643377,"R","81.9","79.3","40.3","76.2",,,,"48.1",
"Wesneski, Hayden",669713,"R","81.8","84.3","37.8","80.7",,"76.3",,"54.9",
"Kochanowicz, Jack",686799,"R","81.7","77",,"63.2",,,"18.2","49",
"Elder, Bryce",693821,"R","81.6","76.2",,"63.9",,,"23",,
"Hatch, Thomas",641672,"R","81.4","83.7","52","82.8",,,"30","38.3",
"Holmes, Grant",656550,"R","81.4",,"54.8","75.3",,"52.2","29.6",,
"Strickland, Hunter",519326,"R","81.4","87",,"89.9",,,"34.3","54.8",
"Kelly, Kevin",687330,"R","81.3","83.5","50.8",,,,,"74.3",
"Scott, Tanner",656945,"L","81.2",,,,,,"27.8",,
"Kelly, Michael",547184,"R","81.2","78.2","34","72.2",,,"30.7","65.4",
"Waldrep, Hurston",694462,"R","81.2","81.5","54.5",,"83.6","81.7","21.3",,
"Cavalli, Cade",676917,"R","81.1","82.1","53","94.5",,"83.5",,,
"García, Yimi",554340,"R","81.1","81.5",,"87",,"49.5",,"45.8",
"Muñoz, Roddery",682610,"R","81.1","79.1","40.3",,,,"42.5",,
"Koenig, Jared",657649,"L","81","80.5","48.1","92.7",,"80.8",,,
"Gage, Matt",657424,"L","80.9","85.9",,"87.4",,,"29.6","55",
"Oviedo, Johan",670912,"R","80.8","75.5",,"93.4",,"59.6","36.3",,
"Bello, Brayan",678394,"R","80.8","87.5","13.2","95.8",,,,"50.2",
"Stratton, Chris",608717,"R","80.8","77.9",,"78.6",,"67.9","30.3",,
"Wolfram, Grant",664991,"L","80.8","81.7",,,,"55.3","19","62.3",
"Armstrong, Shawn",542888,"R","80.7","87.1","54.1",,,,,"44.9",
"Fried, Max",608331,"L","80.6","65.1","54.2","78.4",,"87.2","34","61.9",
"Adams, Travis",701519,"R","80.4","82.7","46.5","89.8",,"72.3","34.6",,
"Garabito, Gerson",642520,"R","80.3","74.9",,"80.6",,"53.5","31.6",,
"Blackburn, Paul",621112,"R","80.2","83.6","44.6","75.1",,"87.2",,"67.2",
"Rodriguez, Eduardo",593958,"L","80.2","78","60.5","86.9",,"56.4","32.9",,
"Strowd, Kade",669704,"R","80.2","80.5","41.3",,,"80.6",,"61.8",
"Suárez, Ranger",624133,"L","80","72.5","37.9","70.5",,"87.1","37",,
"Smith, Shane",681343,"R","80","86.3",,"85.1",,"80.6","30.8",,
"Schreiber, John",670167,"R","79.8","78.4","28.7","81.9",,,,"65.2",
"Rodríguez, Manuel",655889,"R","79.7","88.3",,,,,"27.7",,
"Boyle, Joe",671212,"R","79.6",,,,"88.4",,"26.4",,
"Peralta, Sammy",671111,"L","79.6","83.6",,"98.9",,,"28.5",,
"Simpson, Josh",681006,"L","79.6","74.4",,"75.4",,"67.9","16.6","52",
"Hodge, Porter",687863,"R","79.6",,,,,,"44","59.1",
"Lawrence, Justin",664875,"R","79.4","78.7",,,,,,"54.3",
"Van Belle, Brian",687003,"R","79.4","84.5",,"91.1",,,"38.3","67.5",
"Faucher, Calvin",676534,"R","79.4","79.6","21.2",,,"72.9",,"49.1",
"Treinen, Blake",595014,"R","79.1","82.2","37.5",,,,,"49.1",
"Kinley, Tyler",641755,"R","79",,,"98.6",,"51.4","22",,
"Ashby, Aaron",676879,"L","78.9","81.3",,"77.6",,"88","53.5",,
"Banks, Tanner",621383,"L","78.7","79.2",,"68.8",,,"33.8","35.9",
"Leclerc, José",600917,"R","78.7","77.5","42.4","78.4",,,"45.3",,
"Sewald, Paul",623149,"R","78.7",,,,,,,"35.4",
"Hudson, Bryan",663542,"L","78.6","72.1","35",,,,,"81.3",
"Stratton, Hunter",676702,"R","78.6",,"59.2",,,,"47.9",,
"Ohtani, Shohei",660271,"R","78.4","77.7","39.4",,"77.9","82.4","27.6","48.1",
"Vasil, Mike",678024,"R","78.3","68.6","19.9","89.1",,"89.8",,"64",
"Wicks, Jordan",696136,"L","78.2","87.3",,"95",,,"23.9","51.8",
"Vargas, Carlos",672841,"R","78.2","74.7","51.7","78.7",,,"26.5",,
"Bradish, Kyle",680694,"R","77.9","77.5",,,,"72.3","41.1",,
"Contreras, Luis",664351,"R","77.8",,,"63.8",,,"49.3","55.2",
"Meyer, Max",676974,"R","77.8","77.1",,"86.2",,,"22","41.6",
"Teng, Kai-Wei",678906,"R","77.8","76.4",,"87.2",,"72.4",,"43.9",
"López, Pablo",641154,"R","77.7","78.8",,"79.1",,"71.8",,"44.4",
"Castillo, José",620454,"L","77.6","74.7",,"57.7",,,"38.1",,
"Lao, Sauryn",666659,"R","77.5","79.1",,"82.2",,,"34.6",,
"Holmes, Clay",605280,"R","77.3","68.4","27.7","86.5",,,"32.6","59.9",
"Maeda, Kenta",628317,"R","77.2","68.8",,,"69",,"21.9","33.2",
"Gil, Luis",661563,"R","76.8",,,"84.7",,,"34.4",,
"Dobbins, Hunter",690928,"R","76.8","82.8",,,"85.9","65.9","39.1","48.3",
"Ross, Joe",605452,"R","76.5","78.6",,"92.3",,"46.2","31.2",,
"Martinez, Seth",661527,"R","76.4","76.3","37.1","67.2",,,,"57.4",
"Warren, Will",701542,"R","76.2","72.6",,"86.2",,"70.4",,"61.9",
"Buttó, José",676130,"R","76.1","81.7",,"72",,,"17.3","56.3",
"Webb, Logan",657277,"R","75.9","78","48.2","76.7",,,,"48.2",
"Pfaadt, Brandon",694297,"R","75.7","79.1","33.9","86.6",,"69.3",,"36.9",
"Rodríguez, Yariel",684320,"R","75.7","86.4",,,"94.4",,"23.8",,
"Carrasco, Carlos",471911,"R","75.7","72.1",,"61.8",,"58","24.8",,
"Hollowell, Gavin",668970,"R","75.6","84.6",,,,,,"53.1",
"Glasnow, Tyler",607192,"R","75.5","73.6",,,,"81.6","22.9",,
"Junis, Jakob",596001,"R","75.4","71.1",,"70",,,"43.9",,
"King, Bryan",687911,"L","75.3","76.5",,"86.4",,,,"65.1",
"Bowman, Matt",621199,"R","75.1","90.3","46.4",,"84.8",,,"42.3",
"Waddell, Brandon",663399,"L","75.1","73.9",,"93.4",,,"29.9","48.6",
"Bummer, Aaron",607481,"L","74.7","75.1",,,,"76.2",,"68.2",
"Weissert, Greg",669711,"R","74.6","78.2",,"93.7",,"79","38.6","68.4",
"Keller, Brad",641745,"R","74.6","77.7",,"84.5",,,"46.4","47",
"Thornton, Trent",663423,"R","74.4","72.2","31.6",,"82.8","64.6",,"52.7",
"Payamps, Joel",606303,"R","74.4","75.8",,,,,"52.1",,
"Kittredge, Andrew",552640,"R","74.4","82.6",,,,,"34.4",,
"Horton, Cade",690990,"R","74.3","70.8",,"77.5",,"51.7",,"48.1",
"Sisk, Evan",681895,"L","74.1","72.6","44.7",,,"78.4",,"59.4",
"Bassitt, Chris",605135,"R","74.1","76.2","46.2","94.9","95","96.1","37.6","87.1",
"Houck, Tanner",656557,"R","73.7","78.4",,,"80.3",,,"64.5",
"Zastryzny, Rob",642239,"L","73.5",,"36.6","84.5","68",,,"42.5",
"Singer, Brady",663903,"R","73.3","83.1","44.3",,,,"35.9","39",
"McCullers Jr., Lance",621121,"R","73.2","69.6","34.7","82.3",,"76.9","53.5",,
"Thompson, Ryan",657044,"R","73.2","75.1",,,,,"72.7",,
"Stewart, Brock",592779,"R","73.1","77.4","48.8","85.7",,,,"52.7",
"Phillips, Tyler",663969,"R","72.9","90.9",,,"91.2","58.7",,"31.3",
"Núñez, Eduarniel",674384,"R","72.5",,,,,,"37.8",,
"Mejia, Juan",675848,"R","72.3",,,,,,"63.7",,
"Hurter, Brant",676428,"L","71.9","78.4",,"89.4",,,,"50.4",
"Pomeranz, Drew",519141,"L","71.7",,,,,"68.1",,,
"Peterson, David",656849,"L","71.7","75.3",,"91.5",,"69.3","17.6",,
"Feltner, Ryan",663372,"R","71.6","64.9",,"63.2",,"71.5","36.8","47.9",
"Avila, Luinder",679883,"R","71.5","71.4",,,,"60.6",,,
"Schmidt, Clarke",657376,"R","71.3","63.2","48",,,"67.8","41.8","58.7",
"Pressly, Ryan",519151,"R","71.3","72.1",,"57.1",,"70.7","29.3",,
"Coulombe, Danny",543056,"L","71","69.3","29.6",,,"92.9",,"46.7",
"Alvarez, Andrew",674841,"L","70.9","63.1",,"81.9",,"61.1","32.8",,
"Anderson, Shaun",641312,"R","70.8",,,"78.8",,,"40.6","55.9",
"Uribe, Abner",682842,"R","70.5","70.6",,,,,"36.5",,
"Suter, Brent",608718,"L","70.5","88.3",,"94.2",,,"47.5",,
"King, John",667463,"L","70.2","73.3",,"83.3",,"77.1","32.5",,
"Herrin, Tim",682120,"L","70.1","70.4",,,,"53.1","12.7",,
"Moll, Sam",594580,"L","69.5","75.5",,"83.9",,,,"49.4",
"Lovelady, Richard",663992,"L","69.3","68.6",,,,,"29.8","44.5",
"Pallante, Andre",669467,"R","68.6","78.6",,,,"79","32.2",,
